X1MOMEDU,X1DADEDU,X1SES,X1MTHEFF,X1MTHINT,X1SCIUTI,X1SCIEFF,X1SCIINT,X1SCHOOLBEL,X1SCHOOLENG,X1STUEDEXPCT,X1PAREDEXPCT,X1SCHOOLCLI,X1COUPERTEA,X1COUPERCOU,X1COUPERPRI,X3TGPA9TH,S1NOHWDN,S1NOPAPER,S1NOBOOKS,S1LATE,S1PAYOFF,S1GETINTOCLG,S1AFFORD,S1WORKING,S1FRNDGRADES,S1FRNDSCHOOL,S1FRNDCLASS,S1FRNDCLG,S1HRMHOMEWK,S1HRSHOMEWK,S1HROTHHOMWK,S1SUREHSGRAD,P1BEHAVE,P1ATTEND,P1PERFORM,X4EVERDROP,X4PSENRSTLV
1,2,-0.8602,0.1,0.55,0.1,0.25,0.05,-0.39,0.71,6,6,-1.43,0.24,-1.83,1.1,3.5,2,1,1,2,2,2,2,2,1,2,1,1,2,2,1.0,1,1,1,1,0,0
2,2,-0.5771,-1.82,-0.16,0.71,1.83,1.38,0.3,0.21,10,8,-0.89,-0.8,-0.69,-1.25,3.0,3,2,1,1,3,3,2,3,1,1,1,1,1,1,2.0,1,1,1,1,0,1
2,2,-0.5592,0.1,0.85,0.66,-0.05,1.25,0.77,0.59,9,6,-0.53,-0.8,0.81,-0.75,4.0,2,2,1,1,4,4,4,4,1,1,1,1,1,1,1.0,1,1,1,1,0,1
3,2,-0.1113,-0.29,0.29,-0.33,-0.17,-0.67,-0.73,1.01,11,4,-0.72,0.85,1.15,1.1,2.5,2,1,1,1,4,3,2,3,1,2,1,1,1,2,3.0,1,1,1,1,0,1
5,5,1.3326,-0.17,-0.18,0.1,0.25,0.16,-2.11,0.12,11,8,-0.59,-1.6,0.26,-2.0,3.5,1,1,3,2,3,4,4,4,1,1,1,1,1,1,2.0,2,1,1,1,0,1
4,3,0.4937,0.1,0.49,0.1,0.25,0.54,-0.14,0.52,6,6,-0.23,1.17,0.89,0.8,3.5,2,1,2,1,3,3,3,3,1,1,1,1,1,1,2.0,1,1,1,1,0,1
2,1,-0.7281,-0.56,-0.66,0.1,-1.74,-0.67,-0.39,-1.26,11,4,-3.47,-0.11,-0.43,0.52,1.5,4,2,2,3,2,2,2,2,2,2,2,1,1,1,1.0,2,1,2,1,0,0
2,2,0.0374,0.1,0.57,0.1,-1.33,-0.61,-0.39,-0.2,2,11,-0.48,-0.25,0.61,0.54,2.0,2,2,2,2,3,3,2,3,1,1,1,1,1,1,1.0,2,2,1,2,0,0
4,0,-0.0754,0.1,-0.48,0.1,0.25,-0.62,-0.39,-1.06,8,10,0.34,0.02,0.26,1.1,3.5,3,2,3,2,3,4,3,3,1,1,1,1,1,1,1.0,2,2,1,1,0,1
4,0,-0.0996,-2.92,-1.06,1.69,1.1,0.82,0.21,1.39,10,10,-1.31,0.8,0.74,0.26,3.5,1,1,1,1,4,4,4,4,1,1,1,1,2,2,1.0,1,1,1,1,0,1
4,2,0.8831,-1.65,-0.64,0.84,0.25,1.38,-0.73,-1.24,11,6,0.14,-0.31,1.15,0.95,3.0,3,4,1,3,2,3,2,2,1,2,1,1,1,1,1.0,1,1,1,3,0,1
4,4,0.7132,-0.58,1.34,-1.5,-0.9,-1.05,0.61,1.39,2,6,1.15,0.65,0.26,-0.35,2.5,1,1,1,1,3,3,3,2,1,1,1,1,1,1,2.0,1,1,1,1,0,1
2,2,-0.2262,-0.17,-1.31,-3.1,-1.33,-0.17,-0.39,1.39,11,11,-2.29,-0.6,-0.49,0.95,3.0,1,1,1,1,2,4,2,4,1,2,1,1,1,1,1.0,1,1,1,1,0,0
2,2,-0.7157,-0.17,0.17,0.1,-0.59,-0.73,-0.98,1.01,11,8,-0.24,1.07,1.02,0.95,4.0,2,1,1,1,3,3,3,3,1,1,1,1,2,1,2.0,1,1,1,1,0,1
4,4,0.4613,-1.08,-2.11,1.27,1.83,0.49,0.84,1.39,10,6,-0.32,0.23,0.81,0.74,3.0,1,1,1,1,1,1,1,1,1,2,1,1,6,3,6.0,1,2,2,2,1,1
1,3,-0.5142,-0.56,-0.18,-0.76,0.69,1.66,-0.62,0.33,8,6,-2.32,-0.51,-0.69,0.2,2.5,3,1,1,2,3,4,3,3,1,2,1,1,2,2,3.0,1,1,1,1,0,0
4,4,1.0269,-0.75,0.14,1.27,0.25,0.16,0.21,-0.2,10,10,0.4,0.6,-0.34,-2.31,4.0,2,2,2,2,4,4,4,4,1,1,1,1,1,1,2.0,1,1,1,1,0,1
1,1,-0.7147,0.24,-0.54,-0.89,0.25,0.16,-0.04,1.39,6,11,-3.64,-0.6,-1.38,0.54,2.5,1,1,1,1,2,2,2,3,1,1,1,2,2,1,2.0,1,1,1,1,1,1
2,0,-0.7751,-0.17,1.02,-1.08,-0.89,-1.0,1.0,1.39,8,10,-0.82,-1.51,-1.72,-0.87,3.0,1,1,1,1,3,3,3,4,1,1,1,1,2,1,2.0,1,1,1,1,0,1
5,4,1.3935,0.1,0.49,1.69,0.25,0.16,1.1,1.01,10,10,-1.47,-0.23,1.02,0.95,4.0,2,1,1,1,4,3,3,4,2,1,1,1,1,2,2.0,1,1,1,1,0,1
4,5,1.3306,0.1,0.19,0.1,0.25,-1.05,1.0,-1.02,8,8,0.83,-1.6,0.26,-2.0,3.0,4,4,1,1,2,3,3,3,1,1,1,1,1,1,3.0,1,1,1,1,0,1
2,2,-0.4046,0.95,0.19,-0.89,1.12,0.5,0.98,0.54,8,8,-0.46,-1.44,-0.9,-0.14,3.0,1,3,1,1,3,3,3,3,1,2,1,1,2,2,2.0,1,1,1,1,0,1
4,4,1.1217,0.1,0.1,-0.89,0.25,-0.67,-0.39,0.52,11,8,-0.59,-1.09,-0.21,-2.09,3.5,2,1,2,1,3,3,3,3,1,1,1,1,1,1,1.0,1,1,1,1,0,1
3,3,0.1173,-0.17,-0.18,0.1,0.25,0.16,-0.39,0.52,11,6,0.83,-1.8,0.34,1.1,2.5,2,1,2,1,2,3,3,3,1,1,1,2,2,2,3.0,2,1,1,1,0,1
4,4,1.1166,0.51,0.49,0.1,-0.89,-0.67,0.03,0.04,8,8,1.01,-0.32,-0.08,-0.01,2.5,2,1,3,1,3,3,3,3,1,1,1,1,1,1,1.0,1,1,1,1,0,1
4,0,-0.17,-0.69,-1.19,0.15,0.26,0.56,0.85,-0.26,6,8,0.8,0.86,-6.43,1.1,1.5,2,4,1,1,1,4,4,4,1,1,1,1,1,1,1.0,1,1,1,1,0,0
3,0,-0.0289,-0.17,-0.16,0.1,0.25,1.7,-0.37,1.01,11,10,-0.01,0.03,0.61,0.59,2.5,2,1,1,1,3,3,2,3,1,2,2,1,2,2,2.0,1,1,1,1,1,0
1,2,-0.9551,-0.61,0.19,0.05,-0.89,-0.23,-0.73,-0.05,11,6,0.0,-0.18,-0.49,-0.35,0.5,4,1,1,2,3,3,2,2,1,1,1,2,1,1,2.0,2,2,4,4,0,0
4,5,1.1745,-1.41,-1.11,-0.33,-0.46,-0.67,-0.39,0.14,8,8,-0.5,0.89,-0.69,-0.97,3.5,3,1,2,1,3,3,2,4,2,2,1,1,2,1,2.0,1,1,1,1,0,1
3,4,0.5316,-1.68,-0.96,-0.89,-0.46,-2.59,1.34,-0.44,11,10,-0.85,0.78,1.15,1.1,2.5,2,3,1,3,3,3,3,3,1,1,1,1,2,1,2.0,1,1,1,1,0,0
2,4,0.3952,0.1,0.14,1.08,0.25,0.54,0.77,0.33,6,6,0.25,-1.09,-0.81,-1.66,2.0,3,1,1,2,1,3,2,2,1,2,1,1,2,1,2.0,1,1,1,1,0,1
3,1,-0.9901,-0.97,-0.66,-0.89,-0.89,0.16,0.16,0.63,4,11,0.17,0.11,-0.08,0.69,0.25,3,1,1,1,3,3,2,3,1,1,1,1,1,1,1.0,2,1,1,2,0,1
4,4,0.756,0.82,0.55,0.1,0.67,0.93,0.7,1.09,10,8,0.3,1.56,1.15,1.1,3.0,1,1,1,2,4,4,4,4,1,1,1,1,1,1,2.0,1,1,1,1,0,1
2,2,-0.3173,1.62,1.69,-0.33,-1.2,0.16,-0.62,1.39,11,8,-0.15,1.07,0.74,0.69,3.5,1,1,1,1,2,2,1,3,1,2,1,1,2,1,2.0,1,1,1,1,0,1
2,0,-0.8455,0.1,0.19,0.1,-0.59,-0.61,0.7,1.01,8,10,-0.5,0.61,-0.36,-1.03,3.5,2,1,1,1,4,3,2,4,1,1,1,1,2,2,3.0,1,1,1,1,0,1
4,4,0.8375,0.1,-1.03,-1.88,-0.17,-1.05,-2.44,-0.5,4,7,0.48,-0.8,-1.38,-1.11,2.5,2,2,2,3,3,3,4,4,1,2,1,1,2,1,1.0,1,2,1,1,0,0
2,0,-0.9072,-0.69,-0.66,-0.89,-0.48,-0.6,0.6,-0.2,4,11,0.12,0.87,0.61,0.54,3.5,2,2,2,2,2,2,3,3,1,2,1,1,3,2,2.0,1,1,1,1,0,0
2,2,-0.1206,-1.24,-1.01,0.47,1.83,-1.48,-1.71,1.01,2,2,-0.97,1.07,1.02,0.95,2.5,2,1,1,1,4,4,3,1,2,2,1,2,2,1,1.0,1,1,1,1,0,1
2,5,0.6152,-0.17,-0.66,0.1,-1.02,0.16,-0.88,-0.62,2,10,0.25,-0.8,-1.85,-1.61,3.0,2,3,2,2,3,3,3,3,1,1,1,1,2,2,2.0,1,2,1,1,0,1
3,4,0.028,0.1,-0.29,0.1,0.25,0.16,-0.14,1.39,8,10,-0.51,-1.07,-1.38,-0.35,4.0,1,1,1,1,4,4,3,3,1,1,1,1,1,2,2.0,1,1,1,1,0,1
5,0,1.0828,0.95,0.49,1.13,-0.05,0.86,1.26,0.96,8,10,-1.05,0.03,-1.38,1.1,3.5,1,2,1,1,4,4,4,4,1,1,1,1,1,1,2.0,1,1,1,1,0,0
4,3,0.8583,0.1,0.96,0.1,0.25,0.93,1.26,0.71,8,6,-1.69,-0.94,-1.02,-2.45,3.0,2,1,1,2,4,4,3,4,2,2,1,1,5,5,5.0,1,1,1,1,0,1
4,4,1.0912,-0.17,0.49,0.1,-0.16,-0.24,1.59,1.39,6,6,0.7,0.58,1.02,0.8,3.0,1,1,1,1,4,4,4,4,1,1,1,1,2,2,2.0,1,1,1,1,0,1
4,2,0.5269,0.78,0.55,0.1,0.25,0.54,-0.64,-0.58,8,6,-1.69,-0.94,-1.02,-2.45,2.5,3,2,2,2,4,4,3,4,2,2,1,1,1,2,2.0,1,1,1,2,0,1
2,2,-0.3091,-0.56,-0.18,-0.33,-0.48,0.54,-0.39,-1.66,11,4,-0.69,0.81,-0.15,0.0,2.0,3,2,3,4,3,3,3,3,1,2,1,1,1,1,1.0,1,1,4,2,0,0
3,3,1.1097,0.1,-0.18,-0.33,0.25,0.16,-0.86,1.01,6,6,-0.34,-0.52,1.02,1.1,3.5,2,1,1,1,4,3,3,3,1,1,1,1,2,1,1.0,1,1,1,1,0,1
2,3,0.3341,0.1,0.57,0.71,0.25,-0.28,-0.04,-0.23,2,6,-1.33,-0.1,0.68,1.1,1.0,4,1,2,1,3,3,3,3,1,2,1,1,1,1,1.0,2,1,1,1,0,0
2,0,-0.6714,-0.97,-1.01,-1.5,-1.02,-1.5,-0.84,0.14,2,2,-1.25,-1.09,-0.33,-1.11,2.5,3,1,2,1,3,3,3,3,2,2,1,1,1,1,2.0,2,1,1,1,1,0
4,4,1.4744,0.1,2.08,-0.89,-1.33,-1.77,0.65,0.23,8,6,0.64,0.24,1.15,1.1,2.5,2,1,2,2,2,3,4,4,1,1,1,1,2,2,4.0,1,1,1,2,0,1
3,4,0.8881,1.34,1.69,0.71,0.25,0.56,0.21,0.52,8,6,-0.5,0.59,-0.22,0.8,3.0,2,1,2,1,4,4,3,4,1,1,1,1,2,1,2.0,1,1,1,2,0,1
2,2,-0.5771,0.1,1.34,-0.33,0.25,0.82,0.77,0.71,10,10,-0.69,0.81,-0.15,0.0,3.5,2,1,1,2,1,4,4,4,1,1,1,1,2,2,2.0,1,1,1,1,0,1
4,1,-0.4399,0.1,-1.01,-0.2,-0.59,-2.22,-0.04,-0.37,10,6,-1.17,-1.93,-1.38,-1.11,3.0,1,4,2,1,1,3,2,4,2,2,2,2,3,1,4.0,1,1,1,1,0,1
3,3,-0.382,-0.85,0.49,-0.33,-0.46,-0.23,1.1,0.71,11,4,-1.2,0.87,1.02,-0.91,3.5,2,1,1,2,1,3,3,3,1,2,1,1,1,2,2.0,1,2,1,1,0,1
1,1,-1.2395,0.27,0.39,1.69,1.1,0.15,-0.04,0.67,8,11,-0.26,1.07,0.61,-1.11,3.5,1,2,1,2,4,4,3,4,1,1,1,1,1,2,1.0,1,1,1,1,1,1
3,4,1.013,-0.17,0.19,-0.33,0.67,0.16,0.85,1.39,6,8,-0.14,1.56,-0.94,1.1,3.5,1,1,1,1,3,3,3,3,1,1,1,1,1,2,1.0,1,1,1,1,0,1
2,7,1.1489,0.1,0.19,-0.89,0.25,-0.17,-1.28,-0.2,11,8,-0.76,-0.8,-0.33,-0.68,3.5,2,2,2,2,3,3,3,3,1,2,1,1,1,1,1.0,1,2,1,1,0,1
5,7,1.7902,0.95,0.86,0.71,0.25,0.93,1.04,1.01,2,6,-0.44,-0.87,-1.38,-1.11,3.0,2,1,1,1,4,4,3,4,1,1,1,1,1,2,6.0,1,1,1,1,0,1
4,4,0.4352,0.9,1.34,-1.13,-0.17,-1.5,0.55,1.01,11,10,0.25,0.8,0.81,0.67,1.5,2,1,1,1,2,3,3,3,1,1,1,1,2,2,3.0,1,1,1,1,0,1
3,4,0.2238,0.95,0.57,0.1,0.25,0.16,-0.04,1.39,6,11,0.48,-0.33,-0.9,0.18,4.0,1,1,1,1,4,4,4,4,1,1,1,1,1,1,1.0,1,1,1,1,0,1
2,2,-0.5506,-0.17,1.35,0.1,-0.05,1.38,0.21,0.12,7,6,0.22,-0.25,1.15,1.1,3.0,1,4,1,1,4,4,4,3,1,1,1,1,2,1,2.0,1,1,1,1,0,1
2,0,-1.0862,-0.17,0.57,-0.33,-1.2,-0.67,-0.04,-0.86,11,11,-1.5,-1.09,-1.38,-1.11,2.0,1,4,3,1,4,4,4,4,2,2,1,1,1,1,3.0,1,1,1,1,0,1
2,2,-0.4549,0.24,0.19,0.1,-0.48,-0.6,1.34,1.39,10,11,-0.5,0.61,-0.36,-1.03,3.0,1,1,1,1,4,4,4,4,1,1,1,1,2,2,2.0,1,1,1,1,0,1
5,3,1.1341,-0.61,-0.54,1.69,1.83,1.0,0.45,-0.64,10,10,-3.01,-0.25,-0.08,-0.01,2.0,3,4,1,1,2,2,2,3,1,1,1,1,1,1,1.0,1,2,1,2,0,1
4,4,0.6284,0.51,1.69,1.69,0.25,2.03,0.3,1.01,10,8,-0.35,-0.8,-0.08,0.74,3.5,2,1,1,1,3,3,3,3,1,1,1,1,1,1,1.0,1,1,1,1,0,1
2,2,-0.2285,0.1,1.71,0.1,0.67,0.93,0.85,1.01,6,8,0.64,0.23,-0.9,0.03,3.5,2,1,1,1,4,4,3,4,1,1,1,1,3,2,5.0,1,1,1,1,0,1
2,4,0.7961,0.27,0.19,-0.89,-0.05,-0.17,0.21,0.71,8,10,1.74,1.56,1.15,1.1,4.0,2,1,1,2,4,4,4,4,1,1,1,1,1,2,2.0,1,1,2,1,0,1
3,3,0.2391,-0.56,0.19,-0.33,0.25,0.16,0.3,0.29,8,8,0.18,-0.32,-0.14,-0.4,4.0,2,2,1,2,4,3,2,3,1,1,1,1,2,1,1.0,1,1,1,1,0,1
2,2,-0.3641,-0.58,0.49,1.27,0.69,-0.3,0.7,0.48,10,4,0.56,-0.51,0.34,1.1,2.5,1,2,2,1,4,3,3,4,2,1,1,1,2,2,2.0,1,2,1,1,0,0
0,2,-0.6333,1.62,1.71,1.69,-0.49,0.16,1.26,0.96,6,4,0.23,-0.6,-0.08,1.1,4.0,1,2,1,1,4,4,4,4,1,1,1,1,3,2,3.0,1,1,1,1,0,1
2,3,-0.2075,1.62,0.95,-0.47,-0.89,-1.44,-0.98,-1.0,11,4,-0.39,-0.39,0.61,0.18,3.0,3,3,2,2,3,3,3,3,1,2,1,1,1,1,1.0,1,1,1,1,0,0
5,5,1.2108,1.62,0.19,1.69,1.83,2.03,1.0,0.71,6,10,1.22,1.56,1.15,1.1,3.5,2,1,1,2,4,4,3,4,1,1,1,1,1,4,2.0,1,1,1,1,0,1
2,2,-0.5789,0.16,-0.16,-0.28,0.25,-0.23,-0.37,0.59,8,11,-1.38,-0.8,-1.38,-1.11,2.5,2,2,1,1,1,4,3,3,1,2,1,1,1,1,1.0,1,1,1,1,0,1
5,7,1.6793,0.1,0.51,0.71,1.1,1.7,1.26,1.39,8,10,1.37,1.56,1.15,1.1,4.0,1,1,1,1,4,4,4,4,1,1,1,1,3,2,4.0,1,1,1,1,0,1
4,5,1.2149,1.34,0.86,-0.89,1.53,0.93,0.78,0.1,10,10,1.44,1.09,0.55,0.95,4.0,2,2,2,1,4,3,3,3,1,1,1,1,1,1,2.0,1,2,1,1,0,1
4,4,1.433,-0.17,-0.36,0.1,0.25,0.54,1.0,0.71,8,6,0.53,1.07,0.74,0.69,3.0,2,1,1,2,3,4,4,3,1,1,1,1,1,2,3.0,1,1,1,1,0,1
4,4,0.2825,0.1,0.86,0.1,0.25,0.93,1.0,0.9,10,10,-0.03,1.56,1.15,1.1,4.0,1,1,2,1,4,4,3,3,1,1,1,1,2,1,1.0,1,1,1,1,0,1
2,2,-0.5512,-1.93,-1.56,-0.71,-2.91,-2.26,-1.83,-0.94,2,2,-2.09,-0.6,0.14,0.69,0.5,3,4,1,2,4,3,1,1,1,2,1,2,1,1,1.0,2,2,2,1,1,1
4,4,0.4308,1.34,1.22,-0.89,-0.46,-1.0,0.7,1.39,10,10,-0.44,-0.81,-0.9,-1.55,3.5,1,1,1,1,4,4,4,4,1,1,1,1,2,1,2.0,1,1,1,1,0,1
2,0,-1.2098,-1.24,-0.24,-0.28,1.83,0.49,0.68,0.04,10,6,-1.93,0.31,-1.38,0.54,2.0,2,1,3,1,4,4,2,4,1,2,1,1,3,2,2.0,1,1,1,1,0,0
5,5,1.5402,0.1,0.55,-0.33,0.25,-0.17,-0.39,0.1,6,8,0.18,-0.32,-0.14,-0.4,3.0,2,2,2,1,3,3,3,3,1,1,1,1,1,1,1.0,1,1,1,1,0,1
2,3,-0.3431,0.95,1.69,1.69,0.25,0.49,0.3,-0.58,8,4,-0.39,-0.39,0.61,0.18,3.0,3,2,2,2,4,4,4,4,1,1,1,1,2,2,3.0,1,2,1,2,0,0
3,5,1.0326,1.62,0.58,0.28,0.99,0.54,1.59,1.39,10,10,0.68,1.56,1.15,0.66,3.5,1,1,1,1,4,4,4,4,1,1,1,1,1,2,2.0,1,1,3,1,0,1
2,0,-1.1012,-0.17,-1.31,-0.84,-1.2,-2.59,-1.06,-0.15,6,2,-0.34,0.81,1.15,1.1,0.5,3,1,2,2,3,3,2,3,1,2,1,1,2,1,3.0,1,1,3,3,1,0
3,4,-0.1908,-0.58,0.87,-0.33,0.25,1.38,0.77,-0.17,11,10,0.08,-0.33,-0.08,-0.18,2.5,4,2,1,1,4,4,4,4,1,2,1,1,1,1,1.0,1,1,1,1,0,1
2,0,-0.1277,-0.17,0.19,0.1,-0.46,0.16,-0.39,0.1,4,8,-0.15,0.23,0.68,0.0,3.0,2,2,2,1,1,3,3,4,1,1,1,1,1,1,1.0,1,1,1,1,1,1
2,2,0.3714,0.1,-0.18,0.1,-0.05,0.09,-0.98,1.01,9,11,-0.41,-0.6,-1.38,-1.11,3.0,2,1,1,1,3,3,3,3,1,2,1,1,1,1,1.0,1,1,1,1,0,1
2,2,-1.0525,0.1,0.19,-0.33,0.25,2.03,-0.44,1.39,10,2,1.14,0.78,0.61,0.04,3.5,1,1,1,1,2,3,3,3,1,1,1,1,1,1,2.0,1,1,1,1,1,1
4,2,-0.3421,0.1,-0.18,-0.33,0.25,0.54,0.85,1.01,8,11,-0.97,1.07,1.02,0.95,3.5,2,1,1,1,4,4,3,4,1,1,1,1,2,2,3.0,1,1,1,1,0,1
4,2,0.3538,-2.65,-1.81,-0.33,0.67,-0.27,-1.2,-1.08,6,6,1.23,1.27,1.15,1.1,2.5,4,3,2,1,3,2,1,1,1,1,1,1,1,1,2.0,2,1,1,1,0,1
2,2,-0.387,1.34,1.41,0.71,1.83,2.03,1.0,0.29,6,11,0.48,-1.58,-1.25,-0.68,3.5,2,2,1,2,4,4,3,4,1,1,1,1,1,4,2.0,2,1,1,1,0,1
2,0,-1.3419,1.17,-0.48,0.28,-0.59,1.34,-0.64,0.03,11,11,0.4,-0.8,-0.49,-0.91,0.5,3,1,1,3,3,3,3,3,2,2,1,2,1,1,1.0,1,2,4,2,1,0
3,4,-0.101,0.49,-0.66,1.69,0.68,1.71,-0.04,0.63,8,8,1.21,0.78,0.61,0.69,2.5,3,1,1,1,2,4,4,4,1,1,1,1,1,2,1.0,1,1,1,1,0,1
1,0,-1.6338,-0.97,-0.56,0.52,-0.49,0.16,-0.39,1.09,6,11,-0.09,-0.8,1.15,-1.46,3.0,1,1,1,2,3,3,3,4,1,1,1,1,1,1,2.0,1,2,2,1,0,0
3,0,-0.9782,0.1,-0.39,0.1,0.25,-0.61,-0.75,0.14,10,10,0.69,-1.57,-0.96,-1.11,1.5,3,1,2,1,2,2,3,3,2,2,1,1,1,1,2.0,1,2,1,1,0,1
4,4,1.0925,0.1,0.19,-0.89,0.25,0.16,0.16,0.18,11,6,-0.33,-0.18,-0.96,-1.11,3.5,1,2,2,2,3,3,3,2,1,1,1,1,1,1,1.0,1,1,1,1,0,0
7,2,1.2635,-1.02,-0.71,0.1,-0.59,-1.07,0.52,-0.58,11,10,1.15,0.66,1.15,1.1,3.0,3,2,2,2,3,3,3,4,1,2,1,1,1,1,2.0,1,1,1,1,0,1
4,3,0.2531,0.51,1.05,0.1,0.56,0.61,0.3,1.39,11,2,-1.3,-0.75,-0.9,-0.25,3.5,1,1,1,1,2,3,3,2,1,1,1,1,2,2,2.0,1,2,1,1,0,1
2,2,-0.2606,-1.41,-0.54,-0.47,-1.33,0.16,1.34,0.63,8,8,-1.04,1.07,0.74,1.1,2.5,3,1,1,1,3,3,3,3,1,1,1,1,1,1,1.0,1,1,1,1,0,0
2,0,-1.1012,-1.29,0.01,1.69,-0.17,0.61,-0.39,0.33,6,2,-0.56,0.8,0.61,0.54,2.0,3,1,1,2,3,3,1,3,1,1,1,1,1,1,2.0,2,3,1,3,0,0
4,7,1.412,-0.58,-0.34,-0.33,0.67,-1.44,-0.92,-2.09,10,8,0.02,0.11,-0.56,0.0,2.0,3,3,3,4,4,4,4,4,1,2,1,1,1,1,1.0,1,1,1,1,0,1
2,3,0.0506,0.1,1.69,1.27,0.25,0.49,-0.04,0.52,6,6,-2.73,-2.49,-1.92,-2.66,4.0,2,1,2,1,3,3,3,3,1,1,1,1,2,2,1.0,1,1,1,1,0,0
4,4,0.4784,0.55,-0.16,-0.33,-0.05,-0.23,0.85,0.23,6,6,-3.13,0.31,0.89,0.59,2.5,2,1,2,2,4,3,2,3,1,1,1,1,4,3,4.0,1,1,1,1,1,1
2,2,-0.4046,1.62,0.49,0.23,0.25,1.71,1.59,0.71,4,8,-0.44,-0.81,-0.9,-1.55,1.0,2,1,1,2,4,4,2,3,1,1,1,1,3,3,3.0,1,1,1,1,0,1
4,7,1.1654,1.34,1.02,0.71,0.25,0.21,1.0,0.41,10,10,1.51,0.36,0.68,1.1,3.5,2,1,1,3,4,4,3,4,1,1,1,1,1,1,2.0,1,1,1,1,0,1
2,1,-0.7409,-0.61,-0.36,-1.93,-0.18,-0.28,-0.64,-0.73,2,2,-0.72,-0.81,0.68,0.4,1.0,1,3,3,2,2,2,2,2,1,2,1,1,1,1,1.0,1,2,3,2,1,1
2,0,-0.2295,1.07,2.08,1.27,-1.63,-0.17,-0.04,0.25,6,8,-0.16,0.51,0.68,0.18,3.5,4,1,1,1,3,2,3,3,1,1,1,1,1,1,2.0,1,1,1,1,0,0
2,0,-1.245,-2.92,-1.13,-3.1,-0.17,-0.28,-0.73,-1.0,6,10,-0.39,0.02,0.26,0.54,1.5,3,3,2,2,3,3,4,3,1,2,1,1,1,1,1.0,1,1,1,1,0,0
3,3,0.3581,0.22,0.75,-0.33,0.38,0.56,-0.01,-0.7,11,4,-2.12,1.36,1.15,1.1,3.0,3,3,2,1,3,3,4,3,2,2,2,2,2,2,3.0,2,1,1,1,0,1
4,2,-0.0663,-1.41,-0.96,-3.1,-1.33,-2.26,-2.98,-1.11,11,2,-0.24,1.07,0.77,1.1,1.5,2,3,3,2,3,2,2,1,2,2,2,2,1,1,1.0,2,4,3,4,1,0
2,2,-0.7553,0.1,1.34,0.1,0.25,1.25,-0.14,0.6,11,6,0.0,-1.24,-0.49,-1.11,3.0,1,1,2,2,3,3,2,3,1,1,1,1,1,1,2.0,1,1,4,1,0,0
0,5,0.8218,-0.17,-1.01,0.71,1.1,0.16,-0.39,-0.28,11,6,0.57,-0.82,-0.9,-2.36,2.0,3,2,2,1,3,3,2,3,1,1,1,1,1,2,2.0,1,1,1,1,0,1
2,0,-0.6714,-1.0,-1.49,-0.28,-0.61,0.09,-0.39,-0.39,2,2,0.21,1.36,1.15,1.1,1.5,3,2,1,3,3,3,2,2,1,2,1,2,1,1,1.0,1,1,2,1,1,0
3,5,0.6618,-0.17,-0.71,-0.33,-0.05,0.61,1.59,-0.2,8,8,0.32,-0.87,-1.38,-1.11,3.5,2,2,2,2,4,4,4,4,1,1,1,1,1,1,2.0,1,1,1,1,0,1
2,2,-0.0102,-0.73,-0.36,-0.15,-1.33,0.56,-0.14,0.25,11,6,0.17,0.11,-0.08,0.69,3.5,4,1,1,1,4,4,3,3,2,2,1,1,1,1,2.0,1,1,1,1,0,1
3,3,0.5987,0.1,0.49,-0.33,-0.91,-1.0,0.21,0.23,6,6,0.19,-0.22,0.68,-0.59,3.0,2,1,2,2,2,4,2,4,1,1,1,1,3,2,3.0,1,1,1,1,1,1
3,3,0.0331,1.62,2.08,-3.1,-0.59,-1.45,1.34,0.25,11,10,0.22,-0.25,1.15,1.1,4.0,4,1,1,1,4,4,3,3,1,1,1,1,2,4,1.0,1,1,1,1,0,1
3,0,0.511,-1.82,-1.31,1.69,-1.33,-1.51,-0.73,0.71,11,4,1.22,1.56,1.15,0.75,3.5,2,1,1,2,3,3,3,3,1,1,1,1,2,2,2.0,1,1,1,1,0,1
3,0,-0.3688,-2.92,-2.09,0.1,-0.46,0.16,-0.64,0.29,11,11,-0.8,0.32,0.74,0.69,2.0,2,2,1,2,1,3,3,3,1,1,1,1,1,1,1.0,1,2,2,3,0,1
3,7,1.479,0.1,-1.79,0.1,0.25,0.16,0.73,-0.2,11,6,1.53,0.99,-0.3,0.58,3.0,2,2,2,2,3,3,3,2,1,1,1,1,1,1,2.0,1,1,1,1,0,1
2,4,0.0397,0.1,-2.46,-0.89,0.25,-0.67,-0.39,-0.28,8,6,-1.32,-0.8,-1.38,-1.11,2.5,3,2,2,1,3,4,2,3,1,2,1,1,1,1,1.0,1,1,1,1,0,1
3,4,0.1703,0.24,0.19,0.1,-0.05,0.54,1.59,0.41,10,10,0.3,1.27,1.15,0.95,3.0,2,1,1,3,4,4,4,4,1,1,1,1,2,2,3.0,1,1,1,1,1,1
7,7,2.5668,0.1,0.85,0.71,0.25,2.03,0.34,-0.81,8,8,-0.23,-0.6,-2.67,0.0,4.0,2,3,3,1,3,4,3,4,1,1,1,1,1,2,3.0,1,1,1,1,0,1
4,5,0.8268,1.62,0.86,1.69,1.83,2.03,-0.04,-1.81,8,10,-0.07,-0.32,-0.68,-0.59,4.0,4,4,2,2,4,4,3,4,1,1,1,1,2,2,4.0,1,1,1,1,0,1
